channelId,period,chats,memberChats,uniqueChatters,uniqueMembers,nonMemberPercentage
UCA3WE2WRSpoIvtnoVGq4VAw,2021-03,36900,8001,2182,83,96.1961503208066
UCAHXqn4nAd2j3LRu1Qyi_JA,2021-03,2516,0,189,0,100.0
UCANDOlYTJT7N5jlRC3zfzVA,2021-03,330032,61608,16082,609,96.21315756746674
UCAWSyEs_Io8MtpY3m-zqILA,2021-03,619910,205801,31723,3134,90.12073259149514
UCAoy6rzhSf4ydcYjJw3WoVg,2021-03,236988,45044,16542,452,97.26756135896505
UCB1s_IdO-r0nUkY2mXeti-A,2021-03,37667,9165,2845,269,90.54481546572934
UCBIR44irWpj1eTx0ZQFofHg,2021-03,1477,141,91,13,85.71428571428571
UCBJFtEEDnCpz8koPH-nLWUA,2021-03,18977,0,849,0,100.0
UCBQd84IW8OvM8H5jftHdvmw,2021-03,74181,20866,1598,198,87.60951188986232
UCBe_jjkUHhVNAj46bukAbJA,2021-03,5409,0,190,0,100.0
UCBi8YaVyZpiKWN3_Z0dCTfQ,2021-03,38094,0,3464,0,100.0
UCBiqkFJljoxAj10SoP2w2Cg,2021-03,102231,18202,5671,458,91.92382295891377
UCC0i9nECi4Gz7TU63xZwodg,2021-03,149121,57932,3136,450,85.65051020408163
UCCHH0nWYXFZmtDS_4tvMxHQ,2021-03,16349,3793,490,59,87.95918367346938
UCCXME7oZmXB2VFHJbz5496A,2021-03,27473,2572,1413,104,92.63977353149328
UCClwIqTUn5LDpFucHyaAhHg,2021-03,18861,5513,954,123,87.10691823899371
UCCzUftO8KOVkV4wQG1vkUvg,2021-03,1531060,490464,76307,6046,92.07674263173759
UCD-miitqNY3nyukJ4Fnf4_A,2021-03,443707,0,22224,0,100.0
UCD8HOxPs4Xvsm8H0ZxXGiBw,2021-03,116266,24196,9618,439,95.4356415055105
UCDG8K9g6qo8gX4jCjsqUVzA,2021-03,17827,4022,1190,174,85.3781512605042
UCDh2bWI5EDu7PavqwICkVpA,2021-03,97588,39862,1507,268,82.21632382216325
