channelId,period,superChats,uniqueSuperChatters,totalSC,averageSC
UC-hM6YJuNYVAmUWxeIr9FeA,2021-03,1416,636,862161,608
UC-o-E6I3IC2q8sAoAuM6Umg,2021-03,662,409,709228,1071
UC8jskpQfW9fn2NLK3PdaGdg,2021-03,39,16,20506,525
UCpRXCTyNNa-MnjhK6gisnRw,2021-03,50,10,15118,302
UCfiK42sBHraMBK6eNWtsy7A,2021-03,174,76,192172,1104
UCb6ObE-XGCctO3WrjRZC-cw,2021-03,352,99,240316,682
UCKwATdrcjyzNv9c56PqJbWA,2021-03,174,36,132253,760
UC6HjtF2rHZO8gAsX5FXF-Kg,2021-03,24,18,9292,387
UCpJtk0myFr5WnyfsmnInP-w,2021-03,177,94,166927,943
UCvEX2UICvFAa_T6pqizC20g,2021-03,53,25,36487,688
UCyZZMKRn-mUEkPzaqa9b6bg,2021-03,176,42,110641,628
UCryOPk2GZ1meIDt53tL30Tw,2021-03,166,83,113332,682
UCo7TRj3cS-f_1D9ZDmuTsjw,2021-03,510,178,492916,966
UCP0BspO_AMEe3aQqqpo89Dg,2021-03,177,107,126275,713
UCeLzT-7b2PBcunJplmWtoDg,2021-03,519,280,783054,1508
UCODNLyn3L83wEmC0DLL0cxA,2021-03,304,145,955322,3142
UCHsx4Hqa-1ORjQTh9TYDhww,2021-03,2738,1000,3927976,1434
UC9mf_ZVpouoILRY9NUIaK-w,2021-03,422,245,711705,1686
UCSFCh5NL4qXrAy9u-u2lX3g,2021-03,829,528,1120101,1351
UCc5H1WmEARIj2R16mvut0ZA,2021-03,269,96,83144,309
UCl-3q6t6zdZwgIsFZELb7Zg,2021-03,609,143,509888,837
UCrR7JxkbeLY82e8gsj_I0pQ,2021-03,10,5,10362,1036
UChAnqc_AY5_I3Px5dig3X1Q,2021-03,2654,853,2483266,935
UCw-jEa3_788VkvM2zHzrDnw,2021-03,102,82,66654,653
UCkkdEmzZHMp9xqs_F7v1EQQ,2021-03,53,32,66032,1245
UCtjQoCilYbnxUXquXcVU3uA,2021-03,22,7,7042,320
UCBJFtEEDnCpz8koPH-nLWUA,2021-03,57,31,75051,1316
UCwXOUuxUxCJ1yD0JfogUvMg,2021-03,29,15,55854,1926
UCNwo7eikmX5HPs7NedWVBgw,2021-03,37,18,35000,945
UC7-N7MvN5muVIHqyQx9LFbA,2021-03,156,95,230050,1474
UCAHXqn4nAd2j3LRu1Qyi_JA,2021-03,7,7,11529,1647
UCvInZx9h3jC2JzsIzoOebWg,2021-03,978,461,1191513,1218
UCE0KFKU_O2FkHljyayB7kXw,2021-03,23,11,17296,752
UCYTz3uIgwVY3ZU-IQJS8r3A,2021-03,54,24,60431,1119
UClV7gDF9sUzu4jJCK7rCYkQ,2021-03,229,44,133940,584
UCFahBR2wixu0xOex84bXFvg,2021-03,298,113,178287,598
UCfki3lMEF6SGBFiFfo9kvUA,2021-03,47,36,93879,1997
UCXtQTtPJedfjqEPysorbsMg,2021-03,50,19,111390,2227
UCZgOv3YDEs-ZnZWDYVwJdmA,2021-03,173,123,249181,1440
UC_82HBGtvwN1hcGeOGHzUBQ,2021-03,138,82,85236,617
UCXp7sNC0F_qkjickvlYkg-Q,2021-03,308,128,340993,1107
UCxJ9SJLG7dA00M7VoEe4ltw,2021-03,89,62,79983,898
UCGYAYLDE7TZiiC8U6teciDQ,2021-03,320,219,483723,1511
UChUJbHiTVeGrSkTdBzVfNCQ,2021-03,68,55,72449,1065
UCdpUojq0KWZCN9bxXnZwz5w,2021-03,652,409,1400816,2148
UC3vzVK_N_SUVKqbX69L_X4g,2021-03,389,223,427672,1099
UCoWH3sDpeXG1aXmOxveX4KA,2021-03,2,1,1077,538
UCl1oLKcAq93p-pwKfDGhiYQ,2021-03,359,93,170541,475
UCC0i9nECi4Gz7TU63xZwodg,2021-03,876,218,711744,812
UCMwGHR0BTZuLsmjY_NT5Pwg,2021-03,1183,710,1340038,1132
UCV4EoK6BVNl7wxuxpUvvSWA,2021-03,49,27,30530,623
UC_WOBIopwUih0rytRnr_1Ag,2021-03,304,89,246035,809
UCwePpiw1ocZRSNSkpKvVISw,2021-03,72,53,156082,2167
UCbTkauz77OIO9KE5YcAKPlg,2021-03,101,48,134908,1335
UCIJ6TGsTcBlYGUj-zbL60EQ,2021-03,34,19,79217,2329
UC7CtvN04ublW4LGTPksG6mg,2021-03,205,79,228436,1114
UCYKP16oMX9KKPbrNgo_Kgag,2021-03,103,46,93499,907
UCIG9rDtgR45VCZmYnd-4DUw,2021-03,370,150,375136,1013
UCerkculBD7YLc_vOGrF7tKg,2021-03,149,58,97743,655
UC22BVlBsZc6ta3Dqz75NU6Q,2021-03,276,161,292808,1060
UCvPPBoTOor5gm8zSlE2tg4w,2021-03,72,31,172003,2388
UClxrt4pRmaqQnSlDii3EJBQ,2021-03,53,20,47894,903
UCUKD-uaobj9jiqB-VXt71mA,2021-03,2027,506,901180,444
UCijNnZ-6m8g85UGaRAWuw7g,2021-03,13,7,3624,278
UCUtKkGKef8BYMs3h-3zQm9A,2021-03,49,14,41052,837
UC4YaOt1yT-ZeyB0OmxHgolA,2021-03,145,80,211151,1456
UC1DCedRgGHBdm81E1llLhOQ,2021-03,5069,1153,3468472,684
UCRcLAVTbmx2-iNcXSsupdNA,2021-03,67,33,33340,497
UC--A2dwZW7-M2kID0N6_lfA,2021-03,71,45,176688,2488
UCNW1Ex0r6HsWRD4LCtPwvoQ,2021-03,217,159,368327,1697
UC5CwaMl1eIgY8h02uZw7u8A,2021-03,1033,745,2347645,2272
UCHX7YpFG8rVwhsHCx34xt7w,2021-03,91,36,96552,1061
UCyb-cllCkMREr9de-hoiDrg,2021-03,245,99,187333,764
UC8C1LLhBhf_E2IBPLSDJXlQ,2021-03,332,179,501246,1509
UC0WwEfE-jOM2rzjpdfhTzZA,2021-03,15,12,5100,340
UCmovZ2th3Sqpd00F5RdeigQ,2021-03,742,330,958314,1291
UC_BlXOQe5OcRC7o0GX8kp8A,2021-03,173,99,153546,887
UCZYyhgoV314CM14zBD6vd4A,2021-03,141,104,117587,833
UC1QgXt46-GEvtNjEC1paHnw,2021-03,6,6,5470,911
UCYm8zALd2uHqyy6C1tb4_zA,2021-03,198,64,196168,990
UCRvpMpzAXBRKJQuk-8-Sdvg,2021-03,50,38,55027,1100
UCPeF0V8dzSUYHwgLjvC86PQ,2021-03,27,23,39607,1466
UCajhBT4nMrg3DLS-bLL2RCg,2021-03,1623,699,1655923,1020
UCB1s_IdO-r0nUkY2mXeti-A,2021-03,109,79,83003,761
UC6wvdADTJ88OfIbJYIpAaDA,2021-03,491,262,1076241,2191
UCUKngXhjnKJ6KCyuC7ejI_w,2021-03,42,14,29338,698
UCoM_XmK45j504hfUWvN06Qg,2021-03,78,49,142003,1820
UCsg-YqdqQ-KFF0LNk23BY4A,2021-03,46,24,79499,1728
UCOrjRyXJpMzfQFLWuWzGwlg,2021-03,58,32,73587,1268
UCORH-VrhMk_S24HzI0jSQEA,2021-03,2,2,750,375
UC8NZiqKx6fsDT3AVcMiVFyA,2021-03,433,257,421971,974
UC727SQYUvx5pDDGQpTICNWg,2021-03,155,87,107741,695
UCwL7dgTxKo8Y4RFIKWaf8gA,2021-03,299,107,220951,738
UCyIcOCH-VWaRKH9IkR8hz7Q,2021-03,170,104,254734,1498
UCjlmCrq4TP1I4xguOtJ-31w,2021-03,431,235,377134,875
UCRXBTd80F5IIWWY4HatJ5Ug,2021-03,3,2,3700,1233
UCoFEbNyIRUS26-hf2AucwFw,2021-03,104,47,88447,850
UC3czs41x7HD5-nk_cZ-Eo3g,2021-03,88,33,33632,382
UCwrjITPwG4q71HzihV2C7Nw,2021-03,120,70,91162,759
UCMAc88lqzqGV0uxgw9JDj0w,2021-03,85,55,86895,1022
UC_9nmotxi7FAfiJpo1RKy8A,2021-03,114,35,186201,1633
UC3-jXrZXv-PQshpaTQpicPQ,2021-03,14,10,12003,857
UCtzCQnCT9E4o6U3mHHSHbQQ,2021-03,260,102,140066,538
UC9EjSJ8pvxtvPdxLOElv73w,2021-03,46,32,59030,1283
UCk5r533QVMgJUdWwqegH2TA,2021-03,2,2,2438,1219
UCdn5BQ06XqgXoAxIhbqw5Rg,2021-03,947,468,583431,616
UC1zFJrfEKvCixhsjNSb1toQ,2021-03,290,194,350181,1207
UCvzGlP9oQwU--Y0r9id_jnA,2021-03,2851,1042,2060919,722
UCkngxfPbmGyGl_RIq4FA3MQ,2021-03,513,296,473164,922
UCMzVa7B8UEdrvUGsPmSgyjA,2021-03,27,11,22277,825
UCqo0CAZ46l6ic3A_LfhEgHg,2021-03,12,6,25309,2109
UC1519-d1jzGiL1MPTxEdtSA,2021-03,60,46,49580,826
UCoztvTULBYd3WmStqYeoHcA,2021-03,184,75,420644,2286
UChSvpZYRPh0FvG4SJGSga3g,2021-03,256,191,436660,1705
UCqm3BQLlJfvkTsX_hvm0UmA,2021-03,3012,985,2060904,684
UCJubINhCcFXlsBwnHp0wl_g,2021-03,32,28,36641,1145
UC6oW4FXETgEGOFTxWmI2h5Q,2021-03,4,4,1478,369
UCZ1xuCK1kNmn5RzPYIZop3w,2021-03,963,704,1312448,1362
UCji4kFR4n5TnEpqga0SHxlQ,2021-03,51,21,32559,638
UCwokZsOK_uEre70XayaFnzA,2021-03,328,156,262229,799
UCTIE7LM5X15NVugV7Krp9Hw,2021-03,215,138,329953,1534
UCHccxX2p_9DB_HPnXSb2omw,2021-03,19,13,10738,565
UCv6rts7X60zoL__5JPwdPGA,2021-03,51,22,22630,443
UCyO7wyh07pYJaZk51OV75bA,2021-03,265,172,455099,1717
UCWCc8tO-uUl_7SJXIKJACMw,2021-03,114,62,278265,2440
UCHK5wkevfaGrPr7j3g56Jmw,2021-03,39,17,15525,398
UC_GCs6GARLxEHxy1w40d6VQ,2021-03,34,23,27672,813
UC48jH1ul-6HOrcSSfoR02fQ,2021-03,130,75,237256,1825
UCzUNASdzI4PV5SlqtYwAkKQ,2021-03,177,101,115627,653
UC0Owc36U9lOyi9Gx9Ic-4qg,2021-03,460,170,395501,859
UC7hffDQLKIEG-_zoAQkMIvg,2021-03,23,14,11319,492
UCSH4t_nhsNIoxPza4ooYqaA,2021-03,45,27,18639,414
UC9127w5CLmWugWcpdGGuKOA,2021-03,16,7,11617,726
UCv1fFr156jc65EMiLbaLImw,2021-03,546,343,444027,813
UCCHH0nWYXFZmtDS_4tvMxHQ,2021-03,7,6,3551,507
UCPf-EnX70UM7jqjKwhDmS8g,2021-03,59,40,51231,868
